,lineitem,relevance
3515,Micro-entity Balance Sheet as at 31 October 2019,1.0
3516,Notes           2019           2018,2.0
3517,Â£              Â£,1.0
3518,"Current Assets                                                                                            5,609             595",2.0
3519,"Creditors: amounts falling due within one year                                                          (5,392)        (8,297)",2.0
3520,"Net current assets (liabilities)                                                                              217       (7,702)",2.0
3521,"Total assets less current liabilities                                                                        217       (7,702)",2.0
3522,"Total net assets (liabilities)                                                                               217       (7,702)",2.0
3523,"Capital and reserves                                                                                         217       (7,702)",2.0
3524,Â®    For the year ending 31 October 2019 the company was entities to exemption under section 477 of,1.0
3525,the Companies Act 2006 relating to small companies,1.0
3526,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3527,the Companies Act 2006.,1.0
3528,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
3529,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
3530,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3531,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
3532,Approved by the Board on 17 December 2019,1.0
3533,And signed on their behalf by:,1.0
3534,"Modupe C Kolawole, Director",1.0
3535,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3536,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3537,the Companies Act 2006.,1.0
3538,Balance Sheet as at 30 April 2019,1.0
3539,2019         2018,2.0
3540,Â£           Â£,1.0
3541,Current assets,2.0
3542,Cash at bank and in hand                                                                                    10           10,2.0
3543,Net assets                                                                                                            10           10,2.0
3544,Issued share capital,2.0
3545,1000 Ordinary Shares of Â£ 0.01 each                                                                         10           10,2.0
3546,Total Shareholder funds                                                                                              10           10,2.0
3547,STATEMENTS,1.0
3548,a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1.0
3549,Companies Act 2006 relating to dormant companies,1.0
3550,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3551,the Companies Act 2006.,1.0
3552,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3553,with respect to accounting                records and the preparation of accounts.,1.0
3554,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3555,subject to the small companies regime.,1.0
3556,Approved by the Board on 14 January 2020,1.0
3557,And signed on their behalf by:,1.0
3558,"Nagham Darhouse, Director",1.0
3559,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3560,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3561,the Companies Act 2006.,1.0
3562,Micro-entity Balance Sheet as at 31 May 2019,1.0
3563,Notes           2019            2018,2.0
3564,Â£               Â£,1.0
3565,Called up share capital not paid                                                                        -               -,2.0
3566,"Fixed Assets                                                                                            47942           52,260",2.0
3567,"Current Assets                                                                                          26,316          44,130",2.0
3568,Prepayments and accrued income                                                                          -               -,2.0
3569,"Creditors: amounts falling due within one year                                                      (208,648) (121,079)",2.0
3570,"Net current assets (liabilities)                                                                    (182,332)         (76,949)",2.0
3571,"Total assets less current liabilities                                                               (134,390)         (24,689)",2.0
3572,Creditors: amounts falling due after more than one,2.0
3573,0               0,1.0
3574,year,1.0
3575,Provisions for liabilities                                                                             0               0,2.0
3576,"Accruals and deferred income                                                                           0              (19,420)",2.0
3577,"Total net assets (liabilities)                                                                      (134,390)         (44,109)",2.0
3578,"Capital and reserves                                                                                (134,390)         (44,109)",2.0
3579,Â®    For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
3580,Companies Act 2006 relating to small companies,1.0
3581,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3582,the Companies Act 2006.,1.0
3583,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
3584,Companies Act 2006 with respect to accounting                                 records and the preparation of accounts.,1.0
3585,Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3586,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
3587,Approved by the Board 4                on     February 2020,1.0
3588,And signed on their behalf by:,1.0
3589,"Mr Yonathan Tesfazghi, Director",1.0
3590,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3591,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3592,the Companies Act 2006.,1.0
3593,Balance Sheet as at 31 January 2020,1.0
3594,2020           2019,1.0
3595,Â£              Â£,1.0
3596,Called up share capital not paid                                                                            1              1,2.0
3597,Net assets                                                                                                  1              1,2.0
3598,Tssued share capital,2.0
3599,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
3600,Total Shareholder funds                                                                                     1              1,2.0
3601,STATEMENTS,1.0
3602,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
3603,the Companies Act 2006 relating to dormant companies,1.0
3604,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3605,the Companies Act 2006.,1.0
3606,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3607,with respect to accounting                records and the preparation of accounts.,1.0
3608,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3609,subject to the small companies regime.,1.0
3610,Approved by the Board 3               on      February 2020,1.0
3611,And signed on their behalf by:,1.0
3612,"Lee Andrews, Director",1.0
3613,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3614,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3615,the Companies Act 2006.,1.0
3616,Balance Sheet as at 31 May 2019,1.0
3617,2019,1.0
3618,Â£,1.0
3619,Called up share capital not paid                                                                                                100,2.0
3620,Net assets                                                                                                                      100,2.0
3621,Tssued share capital,2.0
3622,100 Ordinary Shares of Â£ | each                                                                                        100,2.0
3623,Total Shareholder funds                                                                                                         100,2.0
3624,STATEMENTS,1.0
3625,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
3626,Companies Act 2006 relating to dormant companies,1.0
3627,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3628,the Companies Act 2006.,1.0
3629,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3630,with respect to accounting                records and the preparation of accounts.,1.0
3631,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3632,subject to the small companies regime.,1.0
3633,Approved by the Board 4               on      February 2020,1.0
3634,And signed on their behalf by:,1.0
3635,"Martin WARE, Director",1.0
3636,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3637,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3638,the Companies Act 2006.,1.0
3639,Micro-entity Balance Sheet as at 31 March 2019,1.0
3640,Notes           2019           2018,2.0
3641,Â£              Â£,1.0
3642,"Fixed Assets                                                                                                 931         1,164",2.0
3643,"Current Assets                                                                                            2,145             321",2.0
3644,"Creditors: amounts falling due within one year                                                          (2,502)        (2,719)",2.0
3645,"Net current assets (liabilities)                                                                           (357)       (2,398)",2.0
3646,"Total assets less current liabilities                                                                        574       (1,234)",2.0
3647,"Total net assets (liabilities)                                                                               574       (1,234)",2.0
3648,"Capital and reserves                                                                                         574       (1,234)",2.0
3649,Â®     For the year ending 31 March 2019 the company was entities to exemption under section 477 of the,1.0
3650,Companies Act 2006 relating to small companies,1.0
3651,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3652,the Companies Act 2006.,1.0
3653,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
3654,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
3655,Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3656,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
3657,Approved by the Board 4               on      February 2020,1.0
3658,And signed on their behalf by:,1.0
3659,"David Bridson, Director",1.0
3660,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3661,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3662,the Companies Act 2006.,1.0
3663,Balance Sheet as at 30 June 2019,1.0
3664,2019,1.0
3665,Â£,1.0
3666,Called up share capital not paid                                                                                        0,2.0
3667,Current assets,2.0
3668,Cash at bank and in hand                                                                                                        100,2.0
3669,Net assets                                                                                                                      100,2.0
3670,Authorised share capital,2.0
3671,100 ORDINARY SHARES of Â£1 each,2.0
3672,Issued share capital,2.0
3673,100 ORDINARY SHARES of Â£1 each                                                                                                  100,2.0
3674,Total shareholder funds                                                                                                         100,2.0
3675,NOTES,2.0
3676,"1. During the year the company allotted 100 ordinary shares with an aggregate nominal value of Â£ 0, the",2.0
3677,consideration received by the company 0 was Â£,1.0
3678,STATEMENTS,1.0
3679,a. For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
3680,Companies Act 2006.,1.0
3681,b. The members have not required the company to obtain an audit in accordance with section 476 of the,1.0
3682,Companies Act 2006.,1.0
3683,c. The director acknowledge their responsibility for:,1.0
3684,i. ensuring the company keeps accounting                                   records which company with Section 386; and,1.0
3685,ii preparing accounts                 which give a true and fair view of the state of affairs of the company as at the end of,1.0
3686,"the financial year, and of its profit or loss for the financial year, in accordance with the requirements of",1.0
3687,"section 393, and which otherwise company with the requirements of the Companies Act relating to",1.0
3688,"accounts,         so far as is applicable to the company",1.0
3689,d. These accounts                have been prepared in accordance with the provisions applicable to companies subject to,1.0
3690,the small companies regime.,1.0
3691,Approved by the Board on 04 February 2020,1.0
3692,And signed on their behalf by:,1.0
3693,"ARVID NATLAND, Director",1.0
3694,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3695,Micro-entity Balance Sheet as at 31 May 2019,1.0
3696,Notes             2019        2018,2.0
3697,Â£           Â£,1.0
3698,"Current Assets                                                                                             28,422 2",2.0
3699,"Creditors: amounts falling due within one year                                                           (28,420) -",2.0
3700,Net current assets (liabilities)                                                                          2            2,2.0
3701,Total assets less current liabilities                                                                     2            2,2.0
3702,Total net assets (liabilities)                                                                            2            2,2.0
3703,Capital and reserves                                                                                      2            2,2.0
3704,Â®    For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
3705,Companies Act 2006 relating to small companies,1.0
3706,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3707,the Companies Act 2006.,1.0
3708,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
3709,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
3710,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3711,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
3712,Approved by the Board 4               on      February 2020,1.0
3713,And signed on their behalf by:,1.0
3714,"David Ross, Director",1.0
3715,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3716,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3717,the Companies Act 2006.,1.0
3718,Balance Sheet as at 30 June 2019,1.0
3719,2019,1.0
3720,Â£,1.0
3721,Called up share capital not paid                                                                                        0,2.0
3722,Current assets,2.0
3723,Cash at bank and in hand                                                                                                        100,2.0
3724,Net assets                                                                                                                      100,2.0
3725,Authorised share capital,2.0
3726,100 ORDINARY SHARES of Â£1 each,2.0
3727,Issued share capital,2.0
3728,100 ORDINARY SHARES of Â£1 each                                                                                                  100,2.0
3729,Total shareholder funds                                                                                                         100,2.0
3730,NOTES,2.0
3731,"1. During the year the company allotted 100 ordinary shares with an aggregate nominal value of Â£ 0, the",2.0
3732,consideration received by the company 0 was Â£,1.0
3733,STATEMENTS,1.0
3734,a. For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
3735,Companies Act 2006.,1.0
3736,b. The members have not required the company to obtain an audit in accordance with section 476 of the,1.0
3737,Companies Act 2006.,1.0
3738,c. The director acknowledge their responsibility for:,1.0
3739,i. ensuring the company keeps accounting                                   records which company with Section 386; and,1.0
3740,ii preparing accounts                 which give a true and fair view of the state of affairs of the company as at the end of,1.0
3741,"the financial year, and of its profit or loss for the financial year, in accordance with the requirements of",1.0
3742,"section 393, and which otherwise company with the requirements of the Companies Act relating to",1.0
3743,"accounts,         so far as is applicable to the company",1.0
3744,d. These accounts                have been prepared in accordance with the provisions applicable to companies subject to,1.0
3745,the small companies regime.,1.0
3746,Approved by the Board on 04 February 2020,1.0
3747,And signed on their behalf by:,1.0
3748,"ANDREAS LYNG, Director",1.0
3749,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3750,Balance Sheet as at 31 October 2019,1.0
3751,2019           2018,2.0
3752,Â£              Â£,1.0
3753,Called up share capital not paid                                                                            1              1,2.0
3754,Net assets                                                                                                  1              1,2.0
3755,Tssued share capital,2.0
3756,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
3757,Total Shareholder funds                                                                                     1              1,2.0
3758,STATEMENTS,1.0
3759,a.   For the year ending 31 October 2019 the company was entities to exemption under section 480 of,1.0
3760,the Companies Act 2006 relating to dormant companies,1.0
3761,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3762,the Companies Act 2006.,1.0
3763,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3764,with respect to accounting                records and the preparation of accounts.,1.0
3765,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3766,subject to the small companies regime.,1.0
3767,Approved by the Board 4               on      February 2020,1.0
3768,And signed on their behalf by:,1.0
3769,"Trevor Collins, Director",1.0
3770,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3771,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3772,the Companies Act 2006.,1.0
3773,Micro-entity Balance Sheet as at 31 January 2020,1.0
3774,Notes             2020             2019,2.0
3775,Â£                Â£,1.0
3776,"Creditors: amounts falling due within one year                                                      (16,666)        (16,666)",2.0
3777,"Net current assets (liabilities)                                                                    (16,666)        (16,666)",2.0
3778,"Total assets less current liabilities                                                               (16,666)        (16,666)",2.0
3779,"Total net assets (liabilities)                                                                      (16,666)        (16,666)",2.0
3780,"Capital and reserves                                                                                (16,666)        (16,666)",2.0
3781,For the year ending 31 January 2020 the company was entities to exemption under section 477 of,1.0
3782,the Companies Act 2006 relating to small companies,1.0
3783,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3784,the Companies Act 2006.,1.0
3785,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
3786,Companies Act 2006 with respect to accounting                              records and the preparation of accounts.,1.0
3787,The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3788,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
3789,Approved by the Board 4              on      February 2020,1.0
3790,And signed on their behalf by:,1.0
3791,"Andrew Langley, Director",1.0
3792,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3793,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3794,the Companies Act 2006.,1.0
3795,Balance Sheet,1.0
3796,as at 31 May 2019,1.0
3797,2018,2.0
3798,Â£,1.0
3799,"Current assets                                                                       2,290",2.0
3800,Creditors: amounts falling due within,2.0
3801,one year                                                                              (253),2.0
3802,"Net current assets                                                                                          2,037",2.0
3803,"Total assets less current liabilities                                                                       2,037",2.0
3804,"Accruals and deferred income                                                                              (1,802)",2.0
3805,Net assets                                                                                                     235,2.0
3806,Capital and reserves                                                                                           235,2.0
3807,Number,1.0
3808,Average number of employee                                                                              2,1.0
3809,The company is a private company limited by shares and incorporated in England. Its registered,1.0
3810,"office is 45 Carlton Road, Erith, England, DA8 1DR.",2.0
3811,The director is satisfied that the company is entities to exemption from the requirement to obtain an,1.0
3812,audit under section 477 of the Companies Act 2006.,1.0
3813,The member has not required the company to obtain an audit in accordance with section 476 of the,1.0
3814,Act.,1.0
3815,The director acknowledges his responsibilities for complying with the requirements of the Companies,1.0
3816,Act 2006 with respect to accounting                       records and the preparation of accounts.,1.0
3817,The accounts           have been prepared in accordance with the micro entity provisions of the Companies,1.0
3818,"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",1.0
3819,The accounts             have been delivered in accordance with the provisions applicable to companies,1.0
3820,subject to the small companies regime. The profit and loss account                                               has not been delivered to the,1.0
3821,Registrar of Companies,1.0
3825,Mr. lonel-Cristian BADIU,1.0
3826,Director,1.0
3827,Approved by the board 3              on       February 2020,1.0
3828,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3829,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3830,the Companies Act 2006.,1.0
3831,Balance Sheet,1.0
3832,as at 31 May 2019,1.0
3833,2019,1.0
3834,Â£,1.0
3835,Current assets                                                                          198,2.0
3836,Creditors: amounts falling due within,2.0
3837,"one year                                                                             3,893",1.0
3838,"Net current assets                                                                                         4,091",2.0
3839,"Total assets less current liabilities                                                                       4,091",2.0
3840,"Accruals and deferred income                                                                              (1,600)",2.0
3841,"Net assets                                                                                                 2,491",2.0
3842,"Capital and reserves                                                                                       2,491",2.0
3843,The company is a private company limited by shares and incorporated in England. Its registered,1.0
3844,"office is 67 Barnsley Road Barnsley Road, Wombwell, Barnsley, England, $73 8HT.",1.0
3845,The director is satisfied that the company is entities to exemption from the requirement to obtain an,1.0
3846,audit under section 477 of the Companies Act 2006.,1.0
3847,The member has not required the company to obtain an audit in accordance with section 476 of the,1.0
3848,Act.,1.0
3849,The director acknowledges his responsibilities for complying with the requirements of the Companies,1.0
3850,Act 2006 with respect to accounting                        records and the preparation of accounts.,1.0
3851,The accounts            have been prepared in accordance with the micro entity provisions of the Companies,1.0
3852,"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",1.0
3853,The accounts             have been delivered in accordance with the provisions applicable to companies,1.0
3854,subject to the small companies regime. The profit and loss account                                               has not been delivered to the,1.0
3855,Registrar of Companies,1.0
3859,Mr. Simion-Sergiu MIHASAN,1.0
3860,Director,1.0
3861,Approved by the board 3               on      February 2020,1.0
3862,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3863,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3864,the Companies Act 2006.,1.0
3865,Balance Sheet as at 30 June 2019,1.0
3866,2019,1.0
3867,Â£,1.0
3868,Called up share capital not paid                                                                                        0,2.0
3869,Current assets,2.0
3870,Cash at bank and in hand                                                                                                         100,2.0
3871,Net assets                                                                                                                       100,2.0
3872,Authorised share capital,2.0
3873,100 ORDINARY SHARES of Â£1 each,2.0
3874,Issued share capital,2.0
3875,100 ORDINARY SHARES of Â£1 each                                                                                                  100,2.0
3876,Total shareholder funds                                                                                                          100,2.0
3877,NOTES,2.0
3878,"1. During the year the company allotted 100 ordinary shares with an aggregate nominal value of Â£ 0, the",2.0
3879,consideration received by the company 0 was Â£,1.0
3880,STATEMENTS,1.0
3881,a. For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
3882,Companies Act 2006.,1.0
3883,b. The members have not required the company to obtain an audit in accordance with section 476 of the,1.0
3884,Companies Act 2006.,1.0
3885,c. The director acknowledge their responsibility for:,1.0
3886,i. ensuring the company keeps accounting                                   records which company with Section 386; and,1.0
3887,ii preparing accounts                  which give a true and fair view of the state of affairs of the company as at the end of,1.0
3888,"the financial year, and of its profit or loss for the financial year, in accordance with the requirements of",1.0
3889,"section 393, and which otherwise company with the requirements of the Companies Act relating to",1.0
3890,"accounts,         so far as is applicable to the company",1.0
3891,d. These accounts                have been prepared in accordance with the provisions applicable to companies subject to,1.0
3892,the small companies regime.,1.0
3893,Approved by the Board on 04 February 2020,1.0
3894,And signed on their behalf by:,1.0
3895,"SYLVI ANN HARILA, Director",1.0
3896,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3897,Micro-entity Balance Sheet as at 31 January 2020,1.0
3898,Notes        2020         2019,2.0
3899,Â£            Â£,1.0
3900,Current Assets                                                                                                  15            10,2.0
3901,Net current assets (liabilities)                                                                                 15            10,2.0
3902,Total assets less current liabilities                                                                            15           10,2.0
3903,Creditors: amounts falling due after more than one,2.0
3904,(5.822)      (5.786),1.0
3905,year,1.0
3906,"Total net assets (liabilities)                                                                            (5,807)      (5,776)",2.0
3907,"Capital and reserves                                                                                      (5,807)      (5,776)",2.0
3908,Â®    For the year ending 31 January 2020 the company was entities to exemption under section 477 of,1.0
3909,the Companies Act 2006 relating to small companies,1.0
3910,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3911,the Companies Act 2006.,1.0
3912,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
3913,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
3914,Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3915,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
3916,Approved by the Board 4               on      February 2020,1.0
3917,And signed on their behalf by:,1.0
3918,"Michael Adediran Adeyinka, Director",1.0
3919,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3920,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3921,the Companies Act 2006.,1.0
3922,Balance Sheet as at 30 June 2019,1.0
3923,2019          2018,2.0
3924,Â£             Â£,1.0
3925,Current assets,2.0
3926,Cash at bank and in hand                                                                                  100           100,2.0
3927,Net assets                                                                                                         100          100,2.0
3928,Issued share capital,2.0
3929,100 Ordinary Shares 1 of Â£ each                                                                           100           100,2.0
3930,Total Shareholder funds                                                                                           100           100,2.0
3931,STATEMENTS,1.0
3932,a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
3933,Companies Act 2006 relating to dormant companies,1.0
3934,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3935,the Companies Act 2006.,1.0
3936,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3937,with respect to accounting                records and the preparation of accounts.,1.0
3938,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3939,subject to the small companies regime.,1.0
3940,Approved by the Board 4               on      February 2020,1.0
3941,And signed on their behalf by:,1.0
3942,"Zijian GENG, Director",1.0
3943,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3944,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3945,the Companies Act 2006.,1.0
3946,Micro-entity Balance Sheet as at 28 February 2019,1.0
3947,Notes         2019,2.0
3948,Â£,1.0
3949,Called up share capital not paid                                                                                        -,2.0
3950,Fixed Assets                                                                                                                 470,2.0
3951,"Current Assets                                                                                                            2,000",2.0
3952,Prepayments and accrued income                                                                                          -,2.0
3953,Creditors: amounts falling due within one year                                                                         0,2.0
3954,"Net current assets (liabilities)                                                                                          2,000",2.0
3955,"Total assets less current liabilities                                                                                     2,470",2.0
3956,Creditors: amounts falling due after more than one year                                                                0,2.0
3957,Provisions for liabilities                                                                                             0,2.0
3958,Accruals and deferred income                                                                                           0,2.0
3959,"Total net assets (liabilities)                                                                                            2,470",2.0
3960,"Capital and reserves                                                                                                      2,470",2.0
3961,Â®    For the year ending 28 February 2019 the company was entities to exemption under section 477 of,1.0
3962,the Companies Act 2006 relating to small companies,1.0
3963,Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3964,the Companies Act 2006.,1.0
3965,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
3966,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
3967,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
3968,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
3969,Approved by the Board 4                on     February 2020,1.0
3970,And signed on their behalf by:,1.0
3971,"Martin Hampshire, Director",1.0
3972,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3973,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3974,the Companies Act 2006.,1.0
3975,Balance Sheet as at 30 April 2019,1.0
3976,2019,1.0
3977,Â£,1.0
3978,Current assets,2.0
3979,Cash at bank and in hand                                                                                          1,2.0
3980,Net assets                                                                                                                 1,2.0
3981,Issued share capital,2.0
3982,1 Ordinary Share 1 of Â£ each                                                                                               1,2.0
3983,Total Shareholder funds                                                                                                    1,2.0
3984,STATEMENTS,1.0
3985,a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1.0
3986,Companies Act 2006 relating to dormant companies,1.0
3987,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
3988,the Companies Act 2006.,1.0
3989,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
3990,with respect to accounting                records and the preparation of accounts.,1.0
3991,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
3992,subject to the small companies regime.,1.0
3993,Approved by the Board 4               on      February 2020,1.0
3994,And signed on their behalf by:,1.0
3995,"Gopal Dhillon, Director",1.0
3996,This document was delivered using electronic communications and authenticated in accordance with the,1.0
3997,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
3998,the Companies Act 2006.,1.0
3999,Balance Sheet as at 31 May 2019,1.0
4000,2019,1.0
4001,Â£,1.0
4002,Called up share capital not paid                                                                                                100,2.0
4003,Net assets                                                                                                                       100,2.0
4004,Tssued share capital,2.0
4005,100 Ordinary Shares of Â£ | each                                                                                        100,2.0
4006,Total Shareholder funds                                                                                                         100,2.0
4007,STATEMENTS,1.0
4008,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
4009,Companies Act 2006 relating to dormant companies,1.0
4010,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
4011,the Companies Act 2006.,1.0
4012,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
4013,with respect to accounting                records and the preparation of accounts.,1.0
4014,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
4015,subject to the small companies regime.,1.0
4016,Approved by the Board on 31 May 2019,1.0
4017,And signed on their behalf by:,1.0
4018,"Godwin Babudoh, Director",1.0
4019,This document was delivered using electronic communications and authenticated in accordance with the,1.0
4020,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
4021,the Companies Act 2006.,1.0
4022,Micro-entity Balance Sheet as at 31 January 2020,1.0
4023,Notes         2020        2019,2.0
4024,Â£           Â£,1.0
4025,Current Assets                                                                                                  151          199,2.0
4026,Creditors: amounts falling due within one year                                                                (150)        (198),2.0
4027,Net current assets (liabilities)                                                                           1           1,2.0
4028,Total assets less current liabilities                                                                      1           1,2.0
4029,Total net assets (liabilities)                                                                             1           1,2.0
4030,Capital and reserves                                                                                       1           1,2.0
4031,Â®    For the year ending 31 January 2020 the company was entities to exemption under section 477 of,1.0
4032,the Companies Act 2006 relating to small companies,1.0
4033,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
4034,the Companies Act 2006.,1.0
4035,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
4036,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
4037,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
4038,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
4039,Approved by the Board 4               on      February 2020,1.0
4040,And signed on their behalf by:,1.0
4041,"Maxwell MBOFANA, Director",1.0
4042,This document was delivered using electronic communications and authenticated in accordance with the,1.0
4043,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
4044,the Companies Act 2006.,1.0
4045,Micro-entity Balance Sheet as at 30 June 2019,1.0
4046,Notes           2019           2018,2.0
4047,Â£              Â£,1.0
4048,"Fixed Assets                                                                                           17417          17,827",2.0
4049,"Current Assets                                                                                         25,632         21,721",2.0
4050,"Creditors: amounts falling due within one year                                                         (2,160)        (2,700)",2.0
4051,"Net current assets (liabilities)                                                                       23472           19,021",2.0
4052,"Total assets less current liabilities                                                                  40,889         36,848",2.0
4053,"Total net assets (liabilities)                                                                         40,889         36,848",2.0
4054,"Reserves                                                                                                 40,889         36,848",2.0
4055,Â®    For the year ending 30 June 2019 the company was entities to exemption under section 477 of the,1.0
4056,Companies Act 2006 relating to small companies,1.0
4057,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
