lineitem,relevance
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                            1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                 1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"DR JACOB OLUBAYO OYEDIRAN, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 June 2019,
2019,
Â£,
Current assets,
Cash at bank and in hand                                                                                           1,
Net assets                                                                                                                  1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                                1,
Total Shareholder funds                                                                                                    1,
STATEMENTS,
a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"LAMBERT Pierre, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
BALANCE SHEET AT 31 July 2019,
2019                                 2018,
Â£                                    Â£,
"Fixed assets                                                                                                                                               4,608                                5,720",
"Current assets                                                                                                                         62,447                               57,775",
Prepayments and accrued income                                                                                                              785                                  654,
"Creditors: amounts falling due within one year                                                                                       (25,103)                            (25,733}",
"Net Current Assets                                                                                                                                       38,129                               32,696",
"Total assets less current liabilities                                                                                                                    42,737                               38,416",
"Accruals and deferred income                                                                                                                                1,608                               1,902",
"Net Assets                                                                                                                                               41,131                               36,514",
"Capital and reserves                                                                                                                                     41,131                               36,514",
Company information,
"Private company limited by shares registered - in EW                                   England and Wales, registered number 4453316. Registered office The",
"Island, Midsomer Norton, Bath, Bath and N. Somerset, BA3 2HQ",
For the year ending 31 July 2019 the company was entities to exemption under section 477 of the Companies Act 2006,
relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of the Companies Act 2006.,
The director acknowledge their responsibilities for complying with the requirements of the Act with respect to accounting,
records and the preparation of accounts.,
These accounts             have been prepared in accordance with the provisions applicable to companies subject to the micro-entity,
regime.,
These accounts              have been delivered in accordance with the provisions applicable to companies subject to the small,
companies regime.,
Approved by the board on 31 January 2020 and signed on their,
behalf by,
Mrs M A Hobbs,
Director,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 March 2019,
2019,
Â£,
Current assets,
Cash at bank and in hand                                                                                          1,
Net assets                                                                                                                 1,
Issued share capital,
100 Ordinary Shares of Â£ 0.01 each                                                                               1,
Total Shareholder funds                                                                                                    1,
STATEMENTS,
a.   For the year ending 31 March 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"Mark Carter, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet 3 as at                         May 2019,
Notes           03/05/2019               31/05/2018,
Â£                        Â£,
"Current Assets                                                                                  8,203                       471",
"Net current assets (liabilities)                                                                8,203                       471",
"Total assets less current liabilities                                                           8,203                       471",
"Total net assets (liabilities)                                                                  8,203                       471",
"Capital and reserves                                                                            8,203                       471",
Â®     For the year ending 3             May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"EWELINA BATOR, Director",
"TOMASZ BATOR, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 December 2018,
Notes           2018            2017,
Â£               Â£,
"Fixed Assets                                                                                           60,000          60,000",
"Current Assets                                                                                         80,000          90,000",
"Creditors: amounts falling due within one year                                                            (600)      (10,600)",
"Net current assets (liabilities)                                                                       79,400          79,400",
"Total assets less current liabilities                                                                139,400         139,400",
Creditors: amounts falling due after more than one,
"(135,000) (135,000)",
year,
"Total net assets (liabilities)                                                                           4,400           4,400",
"Capital and reserves                                                                                     4,400           4,400",
For the year ending 31 December 2018 the company was entities to exemption under section 477 of,
the Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"R J A Roberts, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 October 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            1              1,
Net assets                                                                                                   1              1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 October 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Wayne Delahoy, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 November 2019,
2019,
Â£,
Called up share capital not paid                                                                                                  500,
Net assets                                                                                                                        500,
Tssued share capital,
500 Ordinary Shares 1 of Â£ each                                                                                         500,
Total Shareholder funds                                                                                                           500,
STATEMENTS,
a.   For the year ending 30 November 2019 the company was entities to exemption under section 480,
of the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 30 November 2019,
And signed on their behalf by:,
"guglielmo karminian, Director",
NOTES,
During the year the company acted as an Parent for a person,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 June 2019,
2019,
Â£,
Current assets,
Cash at bank and in hand                                                                                                100,
Net assets                                                                                                                       100,
Issued share capital,
100 Ordinary Shares 1 of Â£ each                                                                                        100,
Total Shareholder funds                                                                                                          100,
STATEMENTS,
a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"Miroslav Siba, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 April 2019,
2019                            2018,
Â£                                Â£,
Net assets                                                                               0                                0,
Reserves                                                                                  0                                0,
STATEMENTS,
a.  For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.  The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.  These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 1              on      September 2019,
And signed on their behalf by:,
"Richard Hadwin, Director",
NOTES,
Company is limited by guarantee.,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020                            2019,
Â£                                Â£,
Net assets                                                                               0                                0,
Reserves                                                                                  0                                0,
STATEMENTS,
a.  For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.  The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.  These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3              on      February 2020,
And signed on their behalf by:,
"David Gardiner-Hill, Director",
NOTES,
Company is limited by guarantee.,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            1              1,
Net assets                                                                                                   1              1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"Benjamin Smith, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes            2019           2018,
Â£              Â£,
"Current Assets                                                                                         94,994          50,695",
"Creditors: amounts falling due within one year                                                        (11,224)         (4,919)",
"Net current assets (liabilities)                                                                        83,770        45,776",
"Total assets less current liabilities                                                                   83,770        45,776",
Accruals and deferred income                                                                               (380)          (260),
"Total net assets (liabilities)                                                                          83,390        45,516",
"Capital and reserves                                                                                    83,390        45,516",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 3               on     February 2020,
And signed on their behalf by:,
"B O'Neill, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes              2019,
Â£,
"Current Assets                                                                                                         38,779",
"Creditors: amounts falling due within one year                                                                         (2,733)",
"Net current assets (liabilities)                                                                                       36,046",
"Total assets less current liabilities                                                                                  36,046",
"Creditors: amounts falling due after more than one year                                                              (32,956)",
"Total net assets (liabilities)                                                                                           3,090",
"Capital and reserves                                                                                                     3,090",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 11 September 2019,
And signed on their behalf by:,
"Mr Gul Nawaz Hussain, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 28 October 2019,
2019,
Â£,
"Current assets                                                                       9,500",
Creditors: amounts falling due within,
"one year                                                                          (6,175)",
"Net current assets                                                                                         3,325",
"Total assets less current liabilities                                                                       3,325",
"Net assets                                                                                                 3,325",
"Capital and reserves                                                                                       3,325",
,
,
The company is a private company limited by shares and incorporated in England. Its registered,
"office 8 is 2 Flat        Archie Street, London SE1 3JT.",
The director is satisfied that the company is entities to exemption from the requirement to obtain an,
audit under section 477 of the Companies Act 2006.,
The member has not required the company to obtain an audit in accordance with section 476 of the,
Act.,
The director acknowledges his responsibilities for complying with the requirements of the Companies,
Act 2006 with respect to accounting                        records and the preparation of accounts.,
The accounts            have been prepared in accordance with the micro entity provisions of the Companies,
"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",
The accounts             have been delivered in accordance with the provisions applicable to companies,
subject to the small companies regime. The profit and loss account                                               has not been delivered to the,
Registrar of Companies,
,
,
,
Lawrence Head,
Director,
Approved by the board 3               on      February 2020,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes             2019,
Â£,
Called up share capital not paid                                                                                      2,
"Fixed Assets                                                                                                            2,380",
"Current Assets                                                                                                          6,423",
"Creditors: amounts falling due within one year                                                                         (1,376)",
"Net current assets (liabilities)                                                                                        5,047",
"Total assets less current liabilities                                                                                   7,429",
"Creditors: amounts falling due after more than one year                                                              (24,679)",
"Accruals and deferred income                                                                                           (1,125)",
"Total net assets (liabilities)                                                                                       (18,375)",
"Capital and reserves                                                                                                 (18,375)",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 3               on     February 2020,
And signed on their behalf by:,
"OLIVER BURDICK, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 30 June 2019,
Notes                                           2019                                         2018,
Â£                                             Â£,
Current assets,
Debtors                                  2                                   12                                           12,
Cash at bank and in hand 3                                         -                                            -,
12                                           12,
,
,
Net current assets                                                                               12                                           12,
Net assets                                                                                       12                                           12,
Capital and reserves,
Called up share capital                  4                                                       12                                           12,
Shareholders funds                                                                               12                                           12,
The director are satisfied that the company is entities to exemption from the requirement to,
obtain an audit under section 477 of the Companies Act 2006.,
The member has not required the company to obtain an audit in accordance with section,
476 of the Act.,
The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,
The accounts           have been prepared and delivered in accordance with the special provisions,
applicable to companies subject to the small companies regime. The profit and loss account,
has not been delivered to the Registrar of Companies,
,
,
,
Mrs B Burridge,
Director,
Approved by the board on 31 January 2020,
Balance Sheet as at 31 May 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            3              3,
Net assets                                                                                                  3             3,
Tssued share capital,
3 ordinary Shares 1 of Â£ each                                                                               3              3,
Total Shareholder funds                                                                                     3             3,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"Andrea Murray, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 March 2019,
Notes       2019       2018,
Â£          Â£,
Fixed Assets                                                                                                   -          -,
Current Assets                                                                                                      417        427,
Prepayments and accrued income                                                                                 -          -,
Creditors: amounts falling due within one year                                                                0           0,
Net current assets (liabilities)                                                                                    417        427,
Total assets less current liabilities                                                                               417        427,
Creditors: amounts falling due after more than one year                                                       0           0,
Provisions for liabilities                                                                                    0           0,
Accruals and deferred income                                                                                  0           0,
Total net assets (liabilities)                                                                                      417        427,
Reserves                                                                                                              417        427,
For the year ending 31 March 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®    The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                  records and the preparation of accounts.,
Â®    The accounts           have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Masood Butt, Director",
"Masood Butt, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 31 July 2019,
Notes                                           2019                                         2018,
Â£                                             Â£,
Current assets,
Debtors                                  2                                    12                                           12,
Cash at bank and in hand 3                                          -                                            -,
12                                           12,
,
,
Net current assets                                                                                12                                           12,
Net assets                                                                                        12                                           12,
Capital and reserves,
Called up share capital                  4                                                        12                                           12,
Shareholders funds                                                                                12                                           12,
The director are satisfied that the company is entities to exemption from the requirement to,
obtain an audit under section 477 of the Companies Act 2006.,
The member has not required the company to obtain an audit in accordance with section,
476 of the Act.,
The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,
The accounts           have been prepared and delivered in accordance with the special provisions,
applicable to companies subject to the small companies regime. The profit and loss account,
has not been delivered to the Registrar of Companies,
,
,
,
Mr IR Coates,
Director,
Approved by the board on 31 January 2020,
Balance Sheet as at 30 April 2019,
2019,
Â£,
Called up share capital not paid                                                                                           1,
Net assets                                                                                                                 1,
Tssued share capital,
11 Share 1 of Â£ each                                                                                              1,
Total Shareholder funds                                                                                                    1,
STATEMENTS,
a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 27 January 2020,
And signed on their behalf by:,
"Colin Wilderspin, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 31 October 2019,
2019,
Â£,
"Current assets                                                                    20,596",
Creditors: amounts falling due within,
one year                                                                          (9.936),
"Net current assets                                                                                       10,660",
"Total assets less current liabilities                                                                     10,660",
"Net assets                                                                                               10,660",
"Capital and reserves                                                                                     10,660",
The company is a private company limited by shares and incorporated in England. Its registered,
"office 3 is     New Years, Green Lane, Harefield, Uxbridge UB9 6LX.",
The director is satisfied that the company is entities to exemption from the requirement to obtain an,
audit under section 477 of the Companies Act 2006.,
The member has not required the company to obtain an audit in accordance with section 476 of the,
Act.,
The director acknowledges his responsibilities for complying with the requirements of the Companies,
Act 2006 with respect to accounting                        records and the preparation of accounts.,
The accounts            have been prepared in accordance with the micro entity provisions of the Companies,
"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",
The accounts             have been delivered in accordance with the provisions applicable to companies,
subject to the small companies regime. The profit and loss account                                              has not been delivered to the,
Registrar of Companies,
,
,
,
Steven Green,
Director,
Approved by the board on 19 January 2020,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
As at 30 September 2019,
Registered number: SC545088,
2019                        2018,
Â£                          Â£,
"Fixed assets                                                                                                                                                                          3,398                          796",
"Current assets                                                                                                                                                                       42,155                      38,715",
"Prepayments and accrued income                                                                                                                                                        1,251                       5,617",
"Creditors: Amounts Falling Due Within One Year                                                                                                                                     (15,736        )            (29,985)",
"NET CURRENT ASSETS                                                                                                                                                                  27,670                      14,347",
"TOTAL ASSETS LESS CURRENT LIABILITIES                                                                                                                                                31,068                      15,143",
Provisions for liabilities                                                                                                                                                        -                                 (234),
"Accruals and deferred income                                                                                                                                                         (7,656       )              (1,675)",
"NET ASSETS                                                                                                                                                                          23,412                      13,234",
"CAPITAL AND RESERVES                                                                                                                                                                 23,412                      13,234",
Notes,
1.      General Information,
"Mercuna Developments Limited is a private company limited by shares, incorporated in Scotland, registered number SC545088.",
"The registered office is Codebase, 3                            Lady Lawson Street, Edinburgh, EH3 9DR.",
For the year ending 30 September 2019 the company was entities to exemption from audit under section 477 of the Companies,
Act 2006 relating to small companies,
Director responsibilities:,
The members have not required the company to obtain an audit in accordance with section 476 of the Companies Act,
2006,
The director acknowledge their responsibilities for complying with the requirements of the Act with respect to accounting,
records and the preparation of accounts.,
These accounts              have been prepared in accordance with the micro-entity provisions and delivered in accordance with the,
provisions applicable to companies subject to the small companies regime.,
On behalf of the board,
,
,
Dr Benjamin Lowing,
20th January 2020,
1 Page,
Balance Sheet as at 31 May 2019,
2019,
Â£,
Called up share capital not paid                                                                                           1,
Net assets                                                                                                                 1,
